"player_name","mlb_team","positions","primary_position"
"Mike Trout","LAA","OF","OF"
"Shea Langeliers","ATH","C","C"
"Chase DeLauter","CLE","OF","OF"
"Andres Gimenez","TOR","2B","2B"
"Jake Burger","TEX","1B","1B"
"Munetaka Murakami","CHW","1B","1B"
"Joey Wiemer","WSN","OF","OF"
"Ramon Laureano","SDP","OF","OF"
"Chase Meidroth","CHW","SS,2B","SS"
"Luis Robert Jr.","NYM","OF","OF"
"Sal Stewart","CIN","3B,1B","3B"
"Kevin McGonigle","DET","SS,3B","SS"
"Nolan Schanuel","LAA","1B","1B"
"Corey Seager","TEX","SS","SS"
"Giancarlo Stanton","NYY","UTL","UTL"
"Brendan Donovan","SEA","2B","2B"
"Jonathan Aranda","TBR","1B","1B"
"Luke Raley","SEA","1B,OF","1B"
"JJ Wetherholt","STL","2B","2B"
"Michael Busch","CHC","1B","1B"
"Brandon Lowe","PIT","2B","2B"
"Michael Harris II","ATL","OF","OF"
"Will Smith","LAD","C","C"
"Dominic Canzone","SEA","OF","OF"
"Brayan Rocchio","CLE","SS,2B","SS"
"David Hamilton","MIL","2B","2B"
"Garrett Mitchell","MIL","OF","OF"
"Oswald Peraza","LAA","3B","3B"
"Christian Yelich","MIL","OF","OF"
"Alex Freeland","LAD","2B,3B","2B"
"Joey Ortiz","MIL","SS","SS"
"Cody Bellinger","NYY","OF","OF"
"Victor Scott II","STL","OF","OF"
"Colt Keith","DET","2B,3B,1B","2B"
"Francisco Alvarez","NYM","C","C"
"Brice Turang","MIL","2B","2B"
"Owen Caissie","MIA","OF","OF"
"Pete Crow-Armstrong","CHC","OF","OF"
"Rhys Hoskins","CLE","1B","1B"
"Elly De La Cruz","CIN","SS","SS"
"Austin Riley","ATL","3B","3B"
"Dillon Dingler","DET","C","C"
"Royce Lewis","MIN","3B","3B"
"Miguel Amaya","CHC","C","C"
"Roman Anthony","BOS","OF","OF"
"Geraldo Perdomo","ARI","SS","SS"
"Manny Machado","SDP","3B","3B"
"Liam Hicks","MIA","C,1B","C"
"Wilyer Abreu","BOS","OF","OF"
"Javier Sanoja","MIA","2B,3B,OF","2B"
"Jorge Polanco","NYM","2B","2B"
"Alec Burleson","STL","1B,OF","1B"
"Ernie Clement","TOR","SS,2B,3B","SS"
"Randy Arozarena","SEA","OF","OF"
"Andy Pages","LAD","OF","OF"
"Christian Walker","HOU","1B","1B"
"Adley Rutschman","BAL","C","C"
"Nick Fortes","TBR","C","C"
"Victor Robles","SEA","OF","OF"
"Zach Neto","LAA","SS","SS"
"Carson Benge","NYM","OF","OF"
"Byron Buxton","MIN","OF","OF"
"Marcelo Mayer","BOS","3B","3B"
"Bryson Stott","PHI","2B","2B"
"Alec Bohm","PHI","3B","3B"
"Gleyber Torres","DET","2B","2B"
"Kazuma Okamoto","TOR","3B,1B","3B"
"Nick Gonzales","PIT","SS,2B","SS"
"Carlos Narvaez","BOS","C","C"
"Vladimir Guerrero Jr.","TOR","1B","1B"
"Ryan O'Hearn","PIT","1B,OF","1B"
"Joey Loperfido","HOU","OF","OF"
"Jorge Soler","LAA","OF","OF"
"Jake Bauers","MIL","1B,OF","1B"
"Ben Williamson","TBR","SS,3B","SS"
"Connor Norby","MIA","3B","3B"
"T.J. Rumfield","COL","1B","1B"
"Agustin Ramirez","MIA","C","C"
"Brandon Marsh","PHI","OF","OF"
"Salvador Perez","KCR","C,1B","C"
"Ozzie Albies","ATL","2B","2B"
"Miguel Rojas","LAD","2B,3B","2B"
"Jac Caglianone","KCR","OF","OF"
"Drake Baldwin","ATL","C","C"
"Yandy Diaz","TBR","1B","1B"
"David Fry","CLE","C,OF","C"
"Sal Frelick","MIL","OF","OF"
"Junior Caminero","TBR","3B","3B"
"Matt McLain","CIN","2B","2B"
"Luis Arraez","SFG","1B","1B"
"Dominic Smith","ATL","1B","1B"
"Andres Chaparro","WSN","1B","1B"
"Chandler Simpson","TBR","OF","OF"
"Max Muncy","LAD","3B","3B"
"Bobby Witt Jr.","KCR","SS","SS"
"Aaron Judge","NYY","OF","OF"
"Alek Thomas","ARI","OF","OF"
"Jordan Walker","STL","OF","OF"
"Jake Meyers","HOU","OF","OF"
"Mookie Betts","LAD","SS","SS"
"Carson Kelly","CHC","C","C"
"Jake Mangum","PIT","OF","OF"
"Ezequiel Tovar","COL","SS","SS"
"Marcus Semien","NYM","2B","2B"
"Nasim Nunez","WSN","SS,2B","SS"
"Jesus Sanchez","TOR","OF","OF"
"Jeremy Pena","HOU","SS","SS"
"Yordan Alvarez","HOU","UTL","UTL"
"Yoan Moncada","LAA","3B","3B"
"Jeremiah Jackson","BAL","OF","OF"
"Cole Young","SEA","2B","2B"
"Leo Rivas","SEA","2B,3B","2B"
"Nico Hoerner","CHC","2B","2B"
"Henry Davis","PIT","C","C"
"Jarren Duran","BOS","OF","OF"
"Matt Olson","ATL","1B","1B"
"Brady House","WSN","3B","3B"
"Eli White","ATL","OF","OF"
"Nathan Church","STL","OF","OF"
"Luis Torrens","NYM","C","C"
"Josh Lowe","LAA","OF","OF"
"Mike Yastrzemski","ATL","OF","OF"
"Ryan Mountcastle","BAL","1B","1B"
"Kyle Higashioka","TEX","C","C"
"Victor Caratini","MIN","C","C"
"Mark Vientos","NYM","3B","3B"
"Andrew McCutchen","TEX","OF","OF"
"Nick Allen","HOU","SS","SS"
"Ben Rice","NYY","C,1B","C"
"William Contreras","MIL","C","C"
"Shohei Ohtani","LAD","UTL","UTL"
"Justin Crawford","PHI","OF","OF"
"Kyle Tucker","LAD","OF","OF"
"Bryan Reynolds","PIT","OF","OF"
"Ketel Marte","ARI","2B","2B"
"Hunter Goodman","COL","C","C"
"Tristan Peters","CHW","OF","OF"
"Carlos Correa","HOU","SS,3B","SS"
"Juan Soto","NYM","OF","OF"
"Austin Hays","CHW","OF","OF"
