player_name,mlb_team
Pete Alonso,NYM
Ketel Marte,ARI
Brent Rooker,OAK
Fernando Tatis Jr.,SD
Munetaka Murakami,NYM
Spencer Torkelson,DET
Hunter Goodman,COL
Seiya Suzuki,CHC
Willy Adames,SF
Jac Caglianone,KC
Zach Neto,LAA
Ronald Acuna Jr.,ATL
Austin Riley,ATL
James Wood,WSH
Riley Greene,DET
Brice Turang,MIL
Tyler Soderstrom,OAK
Wyatt Langford,TEX
Logan O'Hoppe,LAA
Junior Caminero,TB
Gunnar Henderson,BAL
Roman Anthony,BOS
Yordan Alvarez,HOU
Oneil Cruz,PIT
Shea Langeliers,OAK
Teoscar Hernandez,LAD
Michael Busch,CHC
Marcus Semien,TEX
Jose Ramirez,CLE
Carson Montgomery,TEX
Shohei Ohtani,LAD
Julio Rodriguez,SEA
Francisco Lindor,NYM
Jackson Chourio,MIL
Bryce Harper,PHI
Corbin Carroll,ARI
William Contreras,MIL
Maikel Garcia,KC
Nico Hoerner,CHC
Trea Turner,PHI
Nick Kurtz,OAK
Jazz Chisholm Jr.,NYY
Dansby Swanson,CHC
Jo Adell,LAA
Ben Rice,NYY
Alex Bregman,BOS
Taylor Ward,LAA
Randy Arozarena,SEA
Christian Walker,HOU
Kyle Schwarber,PHI
Bobby Witt Jr.,KC
Matt Olson,ATL
Kyle Tucker,CHC
Pete Crow-Armstrong,CHC
Max Muncy,LAD
Will Smith,LAD
Josh Naylor,CLE
Jackson Holliday,BAL
Bo Bichette,TOR
Juan Soto,NYM
Cal Raleigh,SEA
Corey Seager,TEX
Vinnie Pasquantino,KC
Eugenio Suarez,ARI
Giancarlo Stanton,NYY
Jose Altuve,HOU
Mike Trout,LAA
Adolis Garcia,TEX
Christian Yelich,MIL
George Springer,TOR
Aaron Judge,NYY
Elly De La Cruz,CIN
Mookie Betts,LAD
Vladimir Guerrero Jr.,TOR
Rafael Devers,BOS
Manny Machado,SD
Byron Buxton,MIN
Salvador Perez,KC
Cody Bellinger,NYY
Brandon Lowe,TB
