player_name,team_name
Aaron Judge,Derek
Shohei Ohtani,Maddox
Brent Rooker,Matt
Juan Soto,Brusick
Pete Alonso,Jared
Max Muncy,Tyler
Fernando Tatis Jr,Jason
Kyle Schwarber,Jason
Bobby Witt,Tyler
Ketel Marte,Jared
Ryan McMahon,Brusick
Vladimir Guerrero Jr,Matt
Matt Olson,Maddox
Adolis Garcia,Derek
Freddie Freeman,Derek
Kyle Tucker,Maddox
Julio Rodriguez,Matt
Eugenio Suarez,Brusick
Bryce Harper,Jared
Corey Seager,Tyler
Gunnar Henderson,Jason
Jose Ramirez,Jason
Cal Raleigh,Tyler
Jazz Chisholm,Jared
Cody Bellinger,Brusick
Corey Seager,Matt
Mike Trout,Maddox
Yandy Diaz,Derek
Teoscar Hernandez,Derek
Rafael Devers,Maddox
Elly De La Cruz,Matt
Christian Walker,Brusick
Jose Altuve,Jared
Mookie Betts,Tyler
Vinnie Pasquantino,Jason
Zach Neto,Jason
Matt Merrill,Tyler
Josh Naylor,Jared
Manny Machado,Brusick
Andy Pages,Matt
Wilyer Abreu,Maddox
Marcell Ozuna,Derek
Trevor Story,Derek
Francisco Lindor,Maddox
Junior Caminero,Matt
Luis Robert Jr.,Brusick
Taylor Ward,Jared
Ronald Acuna Jr.,Tyler
Oneil Cruz,Jason
